"","category","basalt","chert","limestone","quartz","sandstone","total"
"1","complete flake",0,74.3,24.6,0.5,0.5,100
"2","flake breaks",0,100,0,0,0,100
"3","cores",0.8,83.9,15.3,0,0,100
"4","debris",1,74,24.7,0.1,0.1,100
"5","retouched flakes and breaks",1.1,78,20.4,0.1,0.4,100
"6","retouched chunks",0,76.8,23.2,0,0,100
"7","backed knife",0,71.4,28.6,0,0,100
"8","bec",0,85.7,14.3,0,0,100
"9","borer",0,73.4,26.6,0,0,100
"10","bur",0,83.3,16.7,0,0,100
"11","chopper",50,50,0,0,0,100
"12","cleaver",0,100,0,0,0,100
"13","denticulate",1.3,69.7,27.6,0,1.3,100
"14","endscraper",0,83.3,16.7,0,0,100
"15","natural backed",0,60,40,0,0,100
"16","notch",1.3,86.1,12.7,0,0,100
"17","point",0,82.1,17.9,0,0,100
"18","scraper",1.2,77.5,20.7,0.2,0.5,100
"19","tanged point",0,88.9,11.1,0,0,100
"20","unidentifiable",0,91.7,8.3,0,0,100
